,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue Name,Venue Category,Venue Latitude,Venue Longitude
55,Ankurhati,22.47640513266778,88.38044069608748,Azad Hind Dhaba,Diner,22.471997507738227,88.38673592671309
56,Ankurhati,22.47640513266778,88.38044069608748,Samsung SmartCafé (Fast Information Centre),Mobile Phone Shop,22.483,88.3856
57,Ankurhati,22.47640513266778,88.38044069608748,State Bank of India ATM,ATM,22.4844471,88.3829917
58,Argari,22.57054000000005,88.37124000000006,Big Bazaar,Department Store,22.565918736488236,88.36963534355162
59,Argari,22.57054000000005,88.37124000000006,Bhim Chandra Nag,Indian Sweet Shop,22.570638822213024,88.37152372833114
60,Argari,22.57054000000005,88.37124000000006,Indian Coffee House,Café,22.576186678115835,88.36401300379693
61,Argari,22.57054000000005,88.37124000000006,College Square,Plaza,22.57474596671362,88.36389541625975
62,Argari,22.57054000000005,88.37124000000006,Paramount,Juice Bar,22.573874166664815,88.3644962310791
63,Argari,22.57054000000005,88.37124000000006,Café Coffee Day,Café,22.565918736488236,88.36963534355162
64,Argari,22.57054000000005,88.37124000000006,Sealdah Railway Station,Train Station,22.56796955755306,88.3711266517639
65,Argari,22.57054000000005,88.37124000000006,Sealdah Rajdhani,Platform,22.568173374957258,88.37283664335622
66,Argari,22.57054000000005,88.37124000000006,Santosh Mitra Square,Park,22.56600790325582,88.36571931838989
67,B. B. D. Bagh,22.567620000000034,88.34456000000006,Eden Garden,Cricket Ground,22.564541597977065,88.34329605102539
68,B. B. D. Bagh,22.567620000000034,88.34456000000006,Lalit Great Eastern Hotel,Hotel,22.56796710486943,88.35001000801633
69,B. B. D. Bagh,22.567620000000034,88.34456000000006,The Oberoi Grand,Hotel,22.56174943131244,88.35159438973265
70,B. B. D. Bagh,22.567620000000034,88.34456000000006,Calcutta Swimming Club,Pool,22.568066908154865,88.34206982619719
71,B. B. D. Bagh,22.567620000000034,88.34456000000006,Amber,Indian Restaurant,22.567543544093432,88.35184693336487
72,B. B. D. Bagh,22.567620000000034,88.34456000000006,Netaji Indoor Stadium,Stadium,22.566156514407012,88.3416974544525
73,B. B. D. Bagh,22.567620000000034,88.34456000000006,Esplanade,Neighborhood,22.564244372033293,88.35230827331543
74,B. B. D. Bagh,22.567620000000034,88.34456000000006,The Floatel Hotel,Hotel,22.56976164879978,88.34186892294773
75,B. B. D. Bagh,22.567620000000034,88.34456000000006,Baan Thai,Thai Restaurant,22.561681720242696,88.35157777094761
76,B. B. D. Bagh,22.567620000000034,88.34456000000006,The Peerless Inn,Hotel,22.56234441515912,88.35145933869875
77,B. B. D. Bagh,22.567620000000034,88.34456000000006,New Aliah Hotel & Caterer,Mughlai Restaurant,22.567537194306293,88.35243692856844
78,B. B. D. Bagh,22.567620000000034,88.34456000000006,K. C. Das,Indian Sweet Shop,22.565434244831792,88.35166743562479
79,B. B. D. Bagh,22.567620000000034,88.34456000000006,Millennium Park,Park,22.572481038151835,88.34451717949295
80,B. B. D. Bagh,22.567620000000034,88.34456000000006,Babu Ghat,River,22.567724968842303,88.34068482853557
81,B. B. D. Bagh,22.567620000000034,88.34456000000006,Ramkrishnapur ghat,Boat or Ferry,22.56963996195657,88.34040972098622
82,B. B. D. Bagh,22.567620000000034,88.34456000000006,Bakery & Wilson's,Bakery,22.568417407456767,88.35050691971271
83,B. B. D. Bagh,22.567620000000034,88.34456000000006,Kaka Tea,Breakfast Spot,22.56951679412061,88.35113287796466
84,B. B. D. Bagh,22.567620000000034,88.34456000000006,Outram Ghat,River,22.563828254635645,88.33806037902832
85,B. B. D. Bagh,22.567620000000034,88.34456000000006,Fairlie Ghat,Boat or Ferry,22.575726825751644,88.34513373892916
86,Babughat,22.56729000000007,88.34106000000008,Eden Garden,Cricket Ground,22.564541597977065,88.34329605102539
87,Babughat,22.56729000000007,88.34106000000008,Lalit Great Eastern Hotel,Hotel,22.56796710486943,88.35001000801633
88,Babughat,22.56729000000007,88.34106000000008,Calcutta Swimming Club,Pool,22.568066908154865,88.34206982619719
89,Babughat,22.56729000000007,88.34106000000008,Netaji Indoor Stadium,Stadium,22.566156514407012,88.3416974544525
90,Babughat,22.56729000000007,88.34106000000008,The Floatel Hotel,Hotel,22.56976164879978,88.34186892294773
91,Babughat,22.56729000000007,88.34106000000008,Millennium Park,Park,22.572481038151835,88.34451717949295
92,Babughat,22.56729000000007,88.34106000000008,Babu Ghat,River,22.567724968842303,88.34068482853557
93,Babughat,22.56729000000007,88.34106000000008,Ramkrishnapur ghat,Boat or Ferry,22.56963996195657,88.34040972098622
94,Babughat,22.56729000000007,88.34106000000008,Outram Ghat,River,22.563828254635645,88.33806037902832
95,Babughat,22.56729000000007,88.34106000000008,Bakery & Wilson's,Bakery,22.568417407456767,88.35050691971271
96,Badartala,22.555079999999997,88.24685148658381,State Bank of India ATM,ATM,22.5552313,88.2529903
97,Bagbazar,22.604020000000048,88.36638000000005,Girish Chandra Dey & Nakur Chandra Nandy,Indian Sweet Shop,22.59603964813232,88.36748519805334
98,Bagbazar,22.604020000000048,88.36638000000005,Golbari,Indian Restaurant,22.601742094751607,88.37392675908148
99,Bagbazar,22.604020000000048,88.36638000000005,Kotak Mahindra Bank - Branch/ATM,Bank,22.603536,88.369274
100,Bagbazar,22.604020000000048,88.36638000000005,Mitra Café,Fast Food Restaurant,22.595925050160336,88.36391687393188
101,Bagbazar,22.604020000000048,88.36638000000005,Five Point Crossing,Plaza,22.601877985275,88.37379276752472
102,Bagbazar,22.604020000000048,88.36638000000005,Hatibagan Market,Market,22.595476694261805,88.36666156639686
103,Bagbazar,22.604020000000048,88.36638000000005,Baghbazar Ghat,River,22.604887227482852,88.3648258188372
104,Bagbazar,22.604020000000048,88.36638000000005,Kumartuli,Neighborhood,22.600523184961787,88.36256924753154
105,Bagbazar,22.604020000000048,88.36638000000005,Shyambazar Metro Station,Metro Station,22.60082806866278,88.37095499038696
106,Bagbazar,22.604020000000048,88.36638000000005,Dimpi Restaurant,Vegetarian / Vegan Restaurant,22.60137697288142,88.37348597647116
107,Bagbazar,22.604020000000048,88.36638000000005,Shobhabazar Sutanuti Metro Station,Metro Station,22.595814298878597,88.36525770767976
108,Bagbazar,22.604020000000048,88.36638000000005,Arsalan,Mughlai Restaurant,22.59675435996533,88.37158060634327
109,Baghajatin,22.48395000000005,88.37543000000005,Cafe Coffee Day,Café,22.490272700936092,88.37289351963958
110,Baghajatin,22.48395000000005,88.37543000000005,State Bank of India ATM,ATM,22.4844471,88.3829917
111,Baghajatin,22.48395000000005,88.37543000000005,Calcutta Bistro,Bistro,22.49186071124546,88.37213516235352
112,Baghajatin,22.48395000000005,88.37543000000005,Apollo Pharmacy,Pharmacy,22.491396,88.3702992
113,Baguiati,22.61674000000005,88.42691000000008,KFC,Fried Chicken Joint,22.61836455157655,88.43203268807126
114,Baguiati,22.61674000000005,88.42691000000008,"Big Bazaar, VIP Road",Department Store,22.6169463539868,88.43192761110498
115,Baguiati,22.61674000000005,88.42691000000008,Baguiati A.C. Market,Shopping Mall,22.610960420084684,88.42586517333984
116,Baguiati,22.61674000000005,88.42691000000008,Mio Amore,Bakery,22.610445401647937,88.42710971832275
117,Baguiati,22.61674000000005,88.42691000000008,HDFC Bank ATM,ATM,22.610473,88.426021
118,Baidyabati,22.472510000000057,88.36513000000008,Cafe Coffee Day,Café,22.469099200069817,88.37050437927246
119,Baidyabati,22.472510000000057,88.36513000000008,Spencer's Neighborhood Store,Supermarket,22.472737724209335,88.36387395858763
120,Baidyabati,22.472510000000057,88.36513000000008,Reliance Digital,Electronics Store,22.47365973285938,88.36199641227722
121,Baidyabati,22.472510000000057,88.36513000000008,Axis Bank ATM,ATM,22.46806,88.37232
122,Balaram Pota,22.700780000000066,88.38065000000006,Penguin Dhaba,Dhaba,22.70517629814379,88.3743667602539
123,Balaram Pota,22.700780000000066,88.38065000000006,World of Titan,Watch Shop,22.701449434587186,88.38231025120491
124,Balaram Pota,22.700780000000066,88.38065000000006,Sodepur Station,Train Station,22.700088947335264,88.38219881057739
125,Balaram Pota,22.700780000000066,88.38065000000006,Sriniketan Shoppers Pleasure,Clothing Store,22.700524447796603,88.37981700897217
126,"Balarampur, Budge Budge",22.497570000000053,88.23033000000004,HDFC Bank ATM,ATM,22.499146,88.23048
127,"Balarampur, Budge Budge",22.497570000000053,88.23033000000004,Nungi Railway Station,Train Station,22.50026645535104,88.22339057922363
128,"Bally, Bally-Jagachha",22.647860000000037,88.34428000000008,Bally Ghat Railway Station,Train Station,22.65242297769844,88.347909450531
129,"Bally, Bally-Jagachha",22.647860000000037,88.34428000000008,Bally Halt,Bus Station,22.652869389603612,88.34723946031961
130,"Bally, Bally-Jagachha",22.647860000000037,88.34428000000008,Bally Railway Station,Train Station,22.65502696716386,88.34043145179749
131,"Bally, Howrah",22.647860000000037,88.34428000000008,Bally Ghat Railway Station,Train Station,22.65242297769844,88.347909450531
132,"Bally, Howrah",22.647860000000037,88.34428000000008,Bally Halt,Bus Station,22.652869389603612,88.34723946031961
133,"Bally, Howrah",22.647860000000037,88.34428000000008,Bally Railway Station,Train Station,22.65502696716386,88.34043145179749
134,Ballygunge,22.531780000000026,88.36437000000006,6 Ballygunge Place,Bengali Restaurant,22.527711762714475,88.36867703124626
135,Ballygunge,22.531780000000026,88.36437000000006,Calcutta Cricket and Football Club,Sports Club,22.532939703121933,88.36423324314768
136,Ballygunge,22.531780000000026,88.36437000000006,Paris Café,Bakery,22.534915239713765,88.36481159711806
137,Ballygunge,22.531780000000026,88.36437000000006,Yauatcha,Chinese Restaurant,22.539091355187338,88.36557324255233
138,Ballygunge,22.531780000000026,88.36437000000006,Mithai,Indian Sweet Shop,22.53835353486725,88.36498975753784
139,Ballygunge,22.531780000000026,88.36437000000006,Bombay Brasserie,Indian Restaurant,22.53876974957041,88.3655321583331
140,Ballygunge,22.531780000000026,88.36437000000006,Balaram Mullick & Radharaman Mullick,Indian Sweet Shop,22.52824557543919,88.36643815040588
141,Ballygunge,22.531780000000026,88.36437000000006,The Cream & Fudge Factory,Bakery,22.53454891550832,88.36485351370527
142,Ballygunge,22.531780000000026,88.36437000000006,Mama Mia!,Ice Cream Shop,22.527692395184957,88.36126689677388
143,Ballygunge,22.531780000000026,88.36437000000006,Quest Mall,Shopping Mall,22.539068009925764,88.36552456686483
144,Ballygunge,22.531780000000026,88.36437000000006,Chili's Grill & Bar,Tex-Mex Restaurant,22.539151461669206,88.36549604020865
145,Ballygunge,22.531780000000026,88.36437000000006,Serafina,Italian Restaurant,22.539176012738004,88.3654510974884
146,Ballygunge,22.531780000000026,88.36437000000006,Mainland China,Chinese Restaurant,22.53705616463969,88.35928036581664
147,Ballygunge,22.531780000000026,88.36437000000006,Red Hot Chilli Pepper,Chinese Restaurant,22.529016083164827,88.35580534635506
148,Ballygunge,22.531780000000026,88.36437000000006,New Sharma's Dhaba,Dhaba,22.534092586864595,88.35678557302948
149,Ballygunge,22.531780000000026,88.36437000000006,The Irish House,Irish Pub,22.539018049959683,88.36557017703898
150,Ballygunge,22.531780000000026,88.36437000000006,Inox,Multiplex,22.539139076100746,88.3655587998217
151,Ballygunge,22.531780000000026,88.36437000000006,Chowman,Chinese Restaurant,22.526977073385158,88.36850881576538
152,Ballygunge,22.531780000000026,88.36437000000006,Bohemian,Bengali Restaurant,22.529425566363432,88.3686920178698
153,Ballygunge,22.531780000000026,88.36437000000006,Cream Centre,Vegetarian / Vegan Restaurant,22.52709599594756,88.36844444274902
154,Ballygunge,22.531780000000026,88.36437000000006,Chai Break,Hookah Bar,22.535826729446256,88.36500121963104
155,Ballygunge,22.531780000000026,88.36437000000006,Ballygunge Phari,Plaza,22.527779798694564,88.36609482765198
156,Ballygunge,22.531780000000026,88.36437000000006,Smoke Shack,Lounge,22.523251858661805,88.36377448643061
157,Ballygunge,22.531780000000026,88.36437000000006,Spencer's Hyper,Department Store,22.539201491531596,88.36558015564806
158,Ballygunge,22.531780000000026,88.36437000000006,Azad Hind Dhaba,Dhaba,22.53578100992001,88.3570908279753
159,Ballygunge,22.531780000000026,88.36437000000006,Hotel Park Plaza,Hotel,22.523317433172185,88.36381243056712
160,Ballygunge,22.531780000000026,88.36437000000006,Lifestyle,Clothing Store,22.539396039916312,88.36559378472143
161,Ballygunge,22.531780000000026,88.36437000000006,Cafe Coffee Day,Café,22.528270922769387,88.35881774175695
162,Ballygunge,22.531780000000026,88.36437000000006,The Coffee Bean & Tea Leaf,Coffee Shop,22.538808980119725,88.3655236253766
163,Ballygunge,22.531780000000026,88.36437000000006,Domino's Pizza,Pizza Place,22.528,88.367
164,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Red Hot Chilli Pepper,Chinese Restaurant,22.529016083164827,88.35580534635506
165,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Jai Hind Dhaba,Dhaba,22.533109206899187,88.35326750112607
166,Ballygunge Circular Road,22.5303523517102,88.35621146045604,New Sharma's Dhaba,Dhaba,22.534092586864595,88.35678557302948
167,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Mama Mia!,Ice Cream Shop,22.527692395184957,88.36126689677388
168,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Balaram Mullick & Radharaman Mullick,Indian Sweet Shop,22.53309675113572,88.34708213260403
169,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Mainland China,Chinese Restaurant,22.53705616463969,88.35928036581664
170,Ballygunge Circular Road,22.5303523517102,88.35621146045604,The French Loaf,Bakery,22.539240423448703,88.35492074489594
171,Ballygunge Circular Road,22.5303523517102,88.35621146045604,The Corner Courtyard,Hotel,22.52577918884149,88.35261113769022
172,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Picadilly Square,Café,22.538270555260876,88.35448772169569
173,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Calcutta Cricket and Football Club,Sports Club,22.532939703121933,88.36423324314768
174,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Azad Hind Dhaba,Dhaba,22.53578100992001,88.3570908279753
175,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Cafe Coffee Day,Café,22.528270922769387,88.35881774175695
176,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Cafe Coffee Day,Café,22.524861225681786,88.35523724555969
177,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Pan Asia Continental Hotel,Hotel,22.533065255776958,88.35318837854379
178,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Domino's Pizza,Pizza Place,22.537,88.358
179,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Haldiram Food City,Vegetarian / Vegan Restaurant,22.532821925843496,88.36478765709987
180,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Ajanta Hotel,Vegetarian / Vegan Restaurant,22.53231362258056,88.34984064102173
181,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Solace,Gym / Fitness Center,22.531982439198956,88.36393458206182
182,Ballygunge Circular Road,22.5303523517102,88.35621146045604,Minto Park,Pool,22.537640331910904,88.35332840235901
183,Bandel,22.529814323843247,88.37228790250983,6 Ballygunge Place,Bengali Restaurant,22.527711762714475,88.36867703124626
184,Bandel,22.529814323843247,88.37228790250983,Balaram Mullick & Radharaman Mullick,Indian Sweet Shop,22.52824557543919,88.36643815040588
185,Bandel,22.529814323843247,88.37228790250983,Chowman,Chinese Restaurant,22.526977073385158,88.36850881576538
186,Bandel,22.529814323843247,88.37228790250983,Cream Centre,Vegetarian / Vegan Restaurant,22.52709599594756,88.36844444274902
187,Bandel,22.529814323843247,88.37228790250983,Bohemian,Bengali Restaurant,22.529425566363432,88.3686920178698
188,Bandel,22.529814323843247,88.37228790250983,Paris Café,Bakery,22.534915239713765,88.36481159711806
189,Bandel,22.529814323843247,88.37228790250983,Calcutta Cricket and Football Club,Sports Club,22.532939703121933,88.36423324314768
190,Bandel,22.529814323843247,88.37228790250983,The Cream & Fudge Factory,Bakery,22.53454891550832,88.36485351370527
191,Bandel,22.529814323843247,88.37228790250983,Ballygunge Phari,Plaza,22.527779798694564,88.36609482765198
192,Bandel,22.529814323843247,88.37228790250983,Domino's Pizza,Pizza Place,22.528,88.367
193,Bandel,22.529814323843247,88.37228790250983,Ballygunge Dhaba,Dhaba,22.528196024796333,88.36578369140625
194,Bandel,22.529814323843247,88.37228790250983,Ice Skating Rink,Flea Market,22.52705001628729,88.36606309048823
195,Bandel,22.529814323843247,88.37228790250983,Haldiram Food City,Vegetarian / Vegan Restaurant,22.532821925843496,88.36478765709987
196,Bangur Avenue,22.62206007407968,88.39374329365678,Dum Dum Railway Junction,Train Station,22.62143383151218,88.39331200215173
197,Bangur Avenue,22.62206007407968,88.39374329365678,Mio Amore,Bakery,22.621092212206577,88.39279088001274
198,Bangur Avenue,22.62206007407968,88.39374329365678,Dum Dum Metro Railway Station,Metro Station,22.621775361822166,88.39333534240723
199,Bangur Avenue,22.62206007407968,88.39374329365678,Platform 2,Platform,22.621654354792973,88.39305144186935
200,Bankra,22.670020000000022,88.44225000000006,Sher-e-Punjab,Dhaba,22.67779937114212,88.44636712273714
201,Bankra,22.670020000000022,88.44225000000006,MedPlus,Pharmacy,22.668608,88.443088
202,Bankra,22.670020000000022,88.44225000000006,Axis Bank ATM,ATM,22.671852111816,88.442268371582
203,Bankra,22.670020000000022,88.44225000000006,Axis Bank ATM,ATM,22.668,88.44475
204,Bankra,22.670020000000022,88.44225000000006,Bhajohari Ranna,Asian Restaurant,22.6618296758145,88.44102480390356
205,Bansdroni,22.471750000000043,88.35670000000005,Cafe Coffee Day,Café,22.476444244384766,88.3545913696289
206,Bansdroni,22.471750000000043,88.35670000000005,Pizza Hut,Pizza Place,22.4800175837,88.3549002931
207,Bansdroni,22.471750000000043,88.35670000000005,Reliance Digital,Electronics Store,22.47365973285938,88.36199641227722
208,Bansdroni,22.471750000000043,88.35670000000005,Spencer's Neighborhood Store,Supermarket,22.472737724209335,88.36387395858763
209,Bansdroni,22.471750000000043,88.35670000000005,State Bank of India ATM,ATM,22.4655687,88.3523584
210,Bansdroni,22.471750000000043,88.35670000000005,HDFC Bank ATM,ATM,22.474641,88.365684
211,Bansdroni,22.471750000000043,88.35670000000005,HDFC Bank ATM,ATM,22.474641,88.365684
212,Bantala,22.482650000000035,88.27497000000005,State Bank of India ATM,ATM,22.4877771,88.2762033
213,Bantala,22.482650000000035,88.27497000000005,Axis Bank ATM,ATM,22.477382659912,88.276611328125
214,Banupur,22.66118000000006,88.41734000000008,MedPlus,Pharmacy,22.66297,88.41964
215,Banupur,22.66118000000006,88.41734000000008,Apollo Pharmacy,Pharmacy,22.6632568,88.4220649
216,Banupur,22.66118000000006,88.41734000000008,Royal Pet,Pet Store,22.65789,88.42138
217,Banupur,22.66118000000006,88.41734000000008,Big Bazaar,Department Store,22.66404987639457,88.42274043721687
218,Banupur,22.66118000000006,88.41734000000008,State Bank of India ATM,ATM,22.666019439697,88.423164367676
219,Banupur,22.66118000000006,88.41734000000008,Axis Bank ATM,ATM,22.666019439697,88.423164367676
220,Baranagar,22.642980000000023,88.37775000000005,Domino's Pizza,Pizza Place,22.641,88.378
221,Baranagar,22.642980000000023,88.37775000000005,Planet M,Music Store,22.64053503455025,88.38059956336592
222,Baranagar,22.642980000000023,88.37775000000005,Tobin Road More,Plaza,22.638075397324002,88.37806820869446
223,Baranagar,22.642980000000023,88.37775000000005,HDFC Bank ATM,ATM,22.649204,88.375739
224,Barasat,22.69805585900673,88.44339066856064,MedPlus,Pharmacy,22.69716,88.44093
225,Barasat,22.69805585900673,88.44339066856064,Axis Bank ATM,ATM,22.701225280762,88.435577392578
226,Barasat,22.69805585900673,88.44339066856064,Mio Amore,Bakery,22.700513216682836,88.45153372908429
227,Barasat,22.69805585900673,88.44339066856064,MedPlus,Pharmacy,22.695925,88.452097
228,Barasat,22.69805585900673,88.44339066856064,HDFC Bank ATM,ATM,22.690079,88.447212
229,"Barisha, India",22.48222000000004,88.31636000000003,State Bank of India ATM,ATM,22.4811681,88.3134551
230,"Barisha, India",22.48222000000004,88.31636000000003,VLCC,Health & Beauty Service,22.486963843068068,88.31334103372491
