,Neighbourhood,Latitude,Longitude
46,Beniapukur,22.549000000000035,88.36688000000004
47,Benjanhari Acharial,22.465370000000064,88.17831000000007
48,"Bhadrakali, Hooghly",22.676550000000077,88.35069000000004
49,"Bhadreswar, Hooghly",22.812190000000044,88.35263000000003
50,Bhandardaha,22.616940000000056,88.21444000000008
51,Bhangar Raghunathpur,22.620990000000063,88.42843000000005
52,"Bhasa, Bishnupur",22.405320000000074,88.26687000000004
53,Bhatpara,22.505180000000053,88.23032000000006
54,Bhowanipore,22.535480000000064,88.34623000000005
55,Bidhannagar,22.591510000000028,88.41680000000008
56,Bidyadharpur,22.50971000000004,88.37991000000005
57,Bijoygarh,22.487730000000056,88.36536000000007
58,"Bijpur, North 24 Parganas",22.710000000000036,88.71080000000006
59,Bikramgarh,22.497300000000052,88.35919000000007
60,Bipra Noapara,22.601090000000056,88.21816000000007
61,Birati,22.669030000000078,88.44117000000006
62,Birlapur,22.54595000000006,88.34747000000004
63,"Bishnupur, South 24 Parganas",22.405320000000074,88.26687000000004
64,Bora Gagangohalia,23.400550000000067,87.74760000000003
65,Bow Barracks,22.57036000000005,88.35603000000003
66,Bowali,22.57054000000005,88.37124000000006
67,Bowbazar,22.566280000000063,88.36116000000004
68,"Brahmapur, West Bengal",22.45882000000006,88.36615000000006
69,Budge Budge,22.510967487529356,88.28406574401545
70,Buita,22.57054000000005,88.37124000000006
71,Burrabazar,22.579630000000066,88.35260000000005
72,Burtolla,22.57054000000005,88.37124000000006
73,Calcutta International School,22.52010000000007,88.39951000000008
74,Calcutta Riverside,22.512730000000033,88.21643000000006
75,Chak Alampur,22.40814000000006,88.16893000000005
76,Chak Baria,22.559965124617705,88.39920552331353
77,Chak Enayetnagar,22.371030000000076,88.29396000000008
78,Chak Garia,22.48386000000005,88.39996000000008
79,Chak Kashipur,22.425730000000044,88.16348000000005
80,Chakapara,22.632220000000075,88.34861000000006
81,Champdani,22.60614000000004,88.41106000000008
82,Chamrail,22.63803000000007,88.29443000000003
83,Chandannagar,22.50470000000007,88.23987000000005
84,Chanddandaha,22.382720000000063,88.24055000000004
85,"Chandpur, Ghola",22.685770000000048,88.42808000000008
86,Charu Market,22.522941618096834,88.3668223863466
87,Chata Kalikapur,22.483370000000036,88.24921000000006
88,Chetla,22.516210000000058,88.34100000000007
89,Chinsurah,22.903530000000046,88.38261000000006
90,Chitpur,22.574070000000003,88.35371775000003
91,Chowringhee,22.544970000000035,88.35436000000004
92,Cossipore,22.623410000000035,88.37343000000004
93,Dakshin Jhapardaha,22.632010000000037,88.21485000000007
94,Dakshin Rajyadharpur,22.74971000000005,88.32689000000005
95,Dakshin Raypur,22.403550000000052,88.14991000000003
96,Dakshineswar,22.655160000000024,88.35897000000006
97,"Danga, Sonarpur",22.476090000000056,88.42254000000008
98,Dankuni,22.577860000000044,88.34915000000007
99,"Daulatpur, Bishnupur",22.42004000000003,88.31108000000006
100,Debanandapur,22.934720000000027,88.37143000000003
101,Dhakuria,22.51084000000003,88.37258000000008
102,Dhalai Bridge,22.569570000000056,88.34264000000007
103,"Dhapa, India",22.531900000000064,88.32670000000007
104,"Dharmapur, West Bengal",22.70202000000006,87.82622000000003
105,Dharmatala,22.56389000000007,88.35303000000005
106,Dhuilya,22.57054000000005,88.37124000000006
107,Dum Dum,22.619930000000068,88.39418000000006
108,Dum Dum Park,22.609470000000044,88.41606000000007
109,"Durganagar, Kolkata",22.520157506520878,88.36983983819033
110,Duttapukur,22.49669895920134,88.3488957223152
111,East Kolkata,22.484840000000077,88.37523000000004
112,Ekbalpur,22.535290000000032,88.32268000000005
113,Eksara,22.57054000000005,88.37124000000006
114,Entally,22.55659000000003,88.36925000000008
115,"Esplanade, Kolkata",22.55872000000005,88.34904000000006
116,"Fort William, India",22.559560000000033,88.34262000000007
117,Ganye Gangadharpur,22.478670000000022,88.25941000000006
118,Garden Reach,22.536620000000028,88.29594000000003
119,Garfa,22.50275000000005,88.37935000000004
120,Garia,22.46112000000005,88.38845000000003
121,Gariahat Road,22.515400623925217,88.36778957216228
122,Garshyamnagar,22.822820000000036,88.38058000000007
123,Garulia,22.578080000000057,88.44307000000003
124,Gayespur,23.28705000000008,88.36171000000007
125,"Ghola, North 24 Parganas",22.710000000000036,88.71080000000006
126,Girish Park,22.58627000000007,88.36351000000008
127,"Gobindapur, Bhangar",22.502800000000036,88.61526000000003
128,Golf Green,22.494170000000054,88.36331000000007
129,Gondalpara,22.656264764696115,88.3870243309013
130,Halisahar,22.932180000000074,88.41859000000005
131,Haltu,22.503640000000075,88.39039000000008
132,Hanspukuria,22.44855000000007,88.28924000000006
133,Haridevpur,22.48079000000007,88.33500000000004
134,Harinavi,22.57054000000005,88.37124000000006
135,"Hastings, Kolkata",22.552710000000047,88.33206000000007
136,Hatgachha,22.545430000000067,88.39698000000004
137,Hatiara,22.607843269303388,88.4457612045884
138,Hatibagan,22.59540000000004,88.37260000000003
140,Howrah,22.584571082336563,88.34915776593891
141,Hridaypur,22.50577000000004,88.30101000000008
142,Hugli-Chuchura,22.88489000000004,88.37574000000006
143,Ichapore,22.57054000000005,88.37124000000006
144,Ichhapur Defence Estate,22.79648000000003,88.37911000000008
145,Jadavpur,22.494740000000036,88.37117000000006
146,Jafarpur,22.320830000000058,88.23056000000008
147,Jagacha,22.57054000000005,88.37124000000006
148,Jagadishpur,22.581420000000037,88.35095000000007
149,Jagatdal,22.850000000000023,88.38333000000006
150,Janbazar,22.558340000000044,88.35720000000003
151,Jaynagar Majilpur,22.577590000000043,88.35121000000004
152,Jetia,22.57054000000005,88.37124000000006
153,Jhorhat,22.56727725173074,88.2360795216827
154,Jodhpur Park,22.50586000000004,88.36366000000004
155,"Joka, Kolkata",22.57054000000005,88.37124000000006
156,Jorabagan,22.589440000000025,88.35446000000007
157,Jorasanko,22.588680000000068,88.35723000000007
158,Kadamtala,22.470970000000023,88.30904000000004
159,Kaikhali,22.626010000000065,88.43513000000007
160,Kalara,22.659790000000044,88.38167000000004
161,Kalighat,22.527000000000044,88.34753000000006
162,"Kalikapur, Sonarpur",22.403130000000033,88.46641000000005
163,"Kalua, Maheshtala",22.507040000000075,88.25664000000006
164,"Kalyani, West Bengal",22.48383000000007,88.37652000000008
165,Kamalgazi,22.44729460290978,88.39068921535912
166,Kamarhati,22.67724000000004,88.36845000000005
167,Kanaipur,22.625370000000032,88.39571000000007
168,Kanchrapara,22.95106000000004,88.43102000000005
169,Kanganbaria,22.402130000000056,88.23907000000008
170,Kankurgachi,22.578350000000057,88.39385000000004
171,Kantlia,22.57054000000005,88.37124000000006
172,Kanyanagar,22.69947949227676,88.40977410521585
173,"Kasba, Kolkata",22.527540000000045,88.37517000000008
174,Katju Nagar,22.49840000000006,88.36997000000008
175,Kaugachhi,22.77756000000005,88.48638000000005
176,"Keota, Hooghly",22.925550000000044,88.38510000000008
177,"Kesabpur, India",22.551213688037393,88.38358342492353
178,Kestopur,22.603410000000054,88.42333000000008
179,Khalia,22.57054000000005,88.37124000000006
180,Khantora,22.624720000000025,88.20817000000005
181,Khardaha,22.705530000000067,88.41563000000008
182,Kidderpore,22.53532000000007,88.31930000000006
183,Kodalia,22.684990000000028,88.44623000000007
184,Kolkata West International City,22.54161000000005,88.38648000000006
185,Konnagar,22.66548000000006,88.41966000000008
186,Kriparampur,22.35638000000006,88.27012000000008
187,Kudghat,22.48105000000004,88.34546000000006
188,Kulihanda,22.89868000000007,88.37685000000005
189,Kumortuli,22.600891155810203,88.36210362281284
190,Lake Gardens,22.504910000000052,88.35628000000008
191,"Lake Town, Kolkata",22.592640000000074,88.39531000000005
192,Lalbazar,22.572410000000048,88.35217000000006
193,Liluah,22.57054000000005,88.37124000000006
194,Madhyamgram,22.670970000000068,88.44321000000008
195,Maheshtala,22.507040000000075,88.25664000000006
196,Mahiari,22.57054000000005,88.37124000000006
197,Makardaha,22.504849707995934,88.40637746185696
198,"Manikpur, West Bengal",22.647094198897054,88.42233698147979
